video_identifier, status
---aQ-tA5_A, Downloaded
--0NTAs-fA0, Downloaded
--EBe_f-A40, Downloaded
---0dWlqevI, Downloaded
--EZD1uEVhM, Downloaded
--7VUM9MKg4, Downloaded
--9s8lCov-I, Downloaded
--5urtlw6gs, Downloaded
--33Lscn6sk, Downloaded
--65_UAU7ao, Downloaded
--7goKgS4kc, Downloaded
--8FQVwWH0M, Downloaded
--0l35AkU34, Downloaded
--Dt5ovTecs, Downloaded
--71SekUwOA, Downloaded
--6zxbYq5M4, Downloaded
--4NLFGNfAs, Downloaded
--3ouPhoy2A, Downloaded
--3OAstUWtU, Downloaded
--AC9Wionlg, Downloaded
--07WQ2iBlw, Downloaded
--6q_33gNew, Downloaded
--9bF32cD6M, Downloaded
--4-0ihtnBU, Downloaded
---j12rm3WI, Downloaded
--56QUhyDQM, Downloaded
--5kVeU1uco, Downloaded
--GF746y6UM, Downloaded
--3lTx87ebQ, Downloaded
--FTpoPhxcA, Downloaded
--GaSxELz-8, Downloaded
--DiygSPius, Downloaded
--Kr1PZaPDI, Downloaded
--SSk3r84yw, Downloaded
--SOz3xjWfA, Downloaded
--IPbe5ZMCI, Downloaded
--KkHPoWdW8, Downloaded
--EaS9P7ZdQ, Downloaded
--MW2zcDiNg, Downloaded
--GEr5-PyTI, Downloaded
--QG-bjOFSA, Downloaded
--JGqNj9Bv0, Downloaded
--QfWXBoeA0, Downloaded
--Nixnc9DQg, Downloaded
--WckmtKBpc, Downloaded
--Qq8Y0ywHA, Downloaded
--U3pqp_C5g, Downloaded
--XWWLL8Spk, Downloaded
--PwWfN1Ae4, Downloaded
--TgcS0No3k, Downloaded
--RuMpNXawk, Downloaded
--O2qCO6zBI, Downloaded
--LrHkjbax8, Downloaded
--SrV9bGzRA, Downloaded
--VtCsmlD18, Downloaded
--YXAAC0WWA, Downloaded
--ILYNHl3e4, Downloaded
--UW3CcUqaU, Downloaded
--YKMD5LYtw, Downloaded
--T4dtRsSSg, Downloaded
--_fOePZDoY, Downloaded
--RtHwqbEWA, Downloaded
--_oZL56SVA, Downloaded
--Y25nDn2Wk, Downloaded
--cIG2WqOf4, Downloaded
--XQ47BGhdc, Downloaded
--O4p15yejk, Downloaded
--bQb-k_Tjs, Downloaded
--RVKBMp_2M, Downloaded
--XR9XONO2U, Downloaded
--coBvtS-eQ, Downloaded
--YTcBEbn_s, Downloaded
--PyMoD3_eg, Downloaded
--d6UCSGoHg, Downloaded
--feYHvtteA, Downloaded
--gMWIQlLvs, Downloaded
--_3Wbv-1YY, Downloaded
--ixUOhZodk, Downloaded
--ZrYtRjYfs, Downloaded
--hZSQ7Q7qs, Downloaded
--cOOZbreL4, Downloaded
--cLZr4EsEk, Downloaded
--gtKHP3Q8E, Downloaded
--ijHZ19K_M, Downloaded
--gx7yb1-x0, Downloaded
--jktjgj81k, Downloaded
--mLOzFpQoo, Downloaded
--qyQNsbPnA, Downloaded
--jfcGztatc, Downloaded
--kbTDDIiP0, Downloaded
--oJV4vFNeI, Downloaded
--iGd5Zf7-k, Downloaded
--dVV4_CSvw, Downloaded
--mQfG6Wu48, Downloaded
--p_fzlOmSo, Downloaded
--lmBtwsdBc, Downloaded
--mI_-gaZLk, Downloaded
--qlUJAiVkg, Downloaded
--lrRHlpK68, Downloaded
--uD0h1Rpvc, Downloaded
--oGGqMZmAA, Downloaded
--xtMMzsKgM, Downloaded
--vs4LFYKc8, Downloaded
--o545tThdQ, Downloaded
--rSKL-i6qQ, Downloaded
--loSjz82iU, Downloaded
--oEIzy6Esc, Downloaded
--lvipPLwp0, Downloaded
--vWkSa7Po8, Downloaded
--mBL7P45yE, Downloaded
--oC9hBSmGs, Downloaded
--mTlk9ommA, Downloaded
--sCqFa_j-A, Downloaded
--iIcadFu9c, Downloaded
--uqWcqI1kY, Downloaded
--xD8NX4lxQ, Downloaded
--wGzXrj0SU, Downloaded
-0-SOVRaw9Q, Downloaded
-01PKgtzCxc, Downloaded
-08O1DDPotw, Downloaded
--yCUKj4Oq4, Downloaded
--q6ElFyVq0, Downloaded
--rC9Wkh6HA, Downloaded
--swPW3U9EE, Downloaded
-06mGUmXQ5M, Downloaded
-05APhKiIXc, Downloaded
--wPB1D20NE, Downloaded
-0-s1eu4sF4, Downloaded
--jD1Yu5ZnQ, b'WARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\nIf the owner of this video has granted you access. please sign in.\n       This video is private.\n'
-02uQdK46rE, Downloaded
--wYHtYMK9o, Downloaded
-06S_2g51gY, Downloaded
-02UO1KSdZ0, Downloaded
-00fzD4K6aw, Downloaded
-00nar1nEPc, Downloaded
-06eY3PEL9k, Downloaded
-0AFA2OVzn0, Downloaded
-09lBxmFoWE, Downloaded
-01cbva4erQ, Downloaded
-0IWdKhiWTs, Downloaded
-0COMyPvkHU, Downloaded
